OPERACIàN VOLROD AVALéOS 2025;;;;;;2024;;2025;;Financiero;;
Estado;Departamento;Municipio;Kms;Tipo Ubicaci¢n;Tipo de RH;Tarifa a Cliente;Costo RH Destajo;Tarifa a Cliente;Costo RH Destajo;Margen;Aumento 2025;
Activo;Boyac ;Ch¡quiza;26; Secundario;Destajo;$ 92.000;$ 64.400;$ 101.200;$ 68.200;33%;;
Activo;Boyac ;Duitama;59; Secundario;Destajo;$ 98.000;$ 66.500;$ 107.800;$ 70.400;35%;;
Activo;Boyac ;Firavitoba;74;Terciario;Destajo;$ 110.000;$ 90.000;$ 121.000;$ 93.000;23%;;
Activo;Boyac ;Jenesano;31; Secundario;Destajo;$ 95.000;$ 66.500;$ 104.500;$ 70.400;33%;;
Activo;Boyac ;Mongu¡;89;Terciario;Destajo;$ 120.000;$ 100.000;$ 132.000;$ 101.700;23%;;
Activo;Boyac ;Motavita;6;Principal;Destajo;$ 77.000;$ 46.200;$ 84.700;$ 48.900;42%;;
Activo;Boyac ;Nobsa;73;Terciario;Destajo;$ 100.000;$ 80.000;$ 110.000;$ 84.800;23%;;
Activo;Boyac ;Nuevo Col¢n;34; Secundario;Destajo;$ 105.000;$ 73.000;$ 115.500;$ 77.300;33%;;
Activo;Boyac ;Paipa;46; Secundario;Destajo;$ 93.000;$ 66.300;$ 102.300;$ 70.200;31%;;
Activo;Boyac ;Samac ;31; Secundario;Destajo;$ 92.000;$ 64.400;$ 101.200;$ 68.200;33%;;
Activo;Boyac ;Sogamoso;75;Terciario;Destajo;$ 95.000;$ 66.500;$ 104.500;$ 70.400;33%;;
Activo;Boyac ;Sorac ;9;Principal;Destajo;$ 80.000;$ 48.000;$ 88.000;$ 50.800;42%;;
Activo;Boyac ;Tibasosa;66;Terciario;Destajo;$ 100.000;$ 80.000;$ 110.000;$ 84.800;23%;;
Activo;Boyac ;Tuta;29; Secundario;Destajo;$ 120.000;$ 92.800;$ 132.000;$ 98.300;26%;;
Activo;Boyac ;Villa De Leyva;38; Secundario;Destajo;$ 115.000;$ 80.000;$ 126.500;$ 84.800;33%;;
Activo;Boyac ;Viracacha;24;Cercano;Destajo;$ 93.000;$ 63.000;$ 102.300;$ 66.700;35%;;
Inactivo;Caldas;Manizales;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Caldas;Palestina;30; Secundario;Destajo;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;;
Inactivo;Caldas;Villa Maria;6;Principal;Destajo;$ 75.000;$ 45.000;$ 82.500;$ 47.700;42%;;
Inactivo;Cesar;Valledupar;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Cesar;San Diego;25;Cercano;Destajo;$ 95.000;$ 66.500;$ 104.500;$ 70.400;33%;;
Inactivo;C¢rdoba;Monter¡a;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;C¢rdoba;Ceret‚;23;Cercano;Destajo;$ 100.000;$ 80.000;$ 110.000;$ 84.800;23%;;
Inactivo;C¢rdoba;Ci‚naga De Oro;42; Secundario;Destajo;$ 107.000;$ 85.600;$ 117.700;$ 90.700;23%;;
Activo;CundTol;Flandes;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Activo;CundTol;Girardot;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Activo;CundTol;Ibagu‚;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Activo;CundTol;Agua De Dios;25;Cercano;Destajo;$ 94.000;$ 65.800;$ 103.400;$ 69.700;33%;;
Activo;CundTol;Alvarado;49; Secundario;Destajo;$ 104.000;$ 85.000;$ 114.400;$ 88.000;23%;;
Activo;CundTol;Apulo;42; Secundario;Destajo;$ 132.000;$ 92.000;$ 145.200;$ 97.500;33%;;
Activo;CundTol;Carmen De Apical ;43; Secundario;Destajo;$ 125.000;$ 95.000;$ 137.500;$ 100.700;27%;;
Activo;CundTol;El Guamo;45; Secundario;Destajo;$ 97.000;$ 70.200;$ 106.700;$ 74.400;30%;;
Activo;CundTol;Espinal;30; Secundario;Destajo;$ 98.000;$ 68.600;$ 107.800;$ 72.700;33%;;
Activo;CundTol;Fusagasug ;70;Terciario;Destajo;$ 95.000;$ 66.500;$ 104.500;$ 70.400;33%;;
Activo;CundTol;L¡bano;130;Terciario;Destajo;$ 143.000;$ 105.600;$ 157.300;$ 111.900;29%;;
Activo;CundTol;Mariquita;126;Terciario;Destajo;$ 145.000;$ 116.000;$ 159.500;$ 122.900;23%;;
Activo;CundTol;Melgar;25;Cercano;Destajo;$ 97.000;$ 65.800;$ 106.700;$ 69.700;35%;;
